name,lat,lng
COFFEE MAN,33.5797,130.3766
草千里珈琲焙煎所,32.8846,131.0585
Up to U Coffee,33.5844,130.391
abeki,33.582,130.398
白金茶房,33.579,130.401
Lamplight Books Cafe 福岡,33.5873,130.3944
Cafe La Ruche,33.264,131.3624
タナカフェ,33.5695,130.2005
AMAM DACOTAN 六本松店,33.5806,130.3782
またいちの塩 工房とったん(花鹽布丁),33.6122,130.1466
B-speak,33.2632,131.3556
友永パンや,33.2836,131.5013
水天壽司 石垣店,33.305,131.515
勝烈亭 新市街本店,32.802,130.7045
黒亭,32.805,130.7081
桂花,32.8047,130.7078
馬桜,32.8052,130.7075
湯之岳庵,33.2646,131.3573
Yufumabushi 心,33.2624,131.3549
くらや,33.2635,131.356
とよ常 本店,33.284,131.501
豊後茶屋,33.2845,131.502
柊 ひいらぎ,33.2848,131.5015
もつ鍋 おおやま 博多本店,33.5905,130.4195
博多もつ鍋 やま中,33.586,130.409
拉麵競技場(運河城 B1F),33.5896,130.4109
カフェアラジン / La Beach,33.663,130.355
梅の花,33.5205,130.534
Sunset Cafe,33.626,130.2118
Bistrot Mitsou,33.625,130.21
CURRENT,33.6288,130.217
鶏と肴,33.5748,130.4013
中洲屋台,33.5926,130.4046
Nintendo FUKUOKA(皮克敏),33.5897,130.4207
Ultraman World M78 博多,33.589,130.4113
三麗鷗 Gallery 博多店,33.5899,130.4107
三麗鷗(天神 PARCO),33.5908,130.399
童裝 BREEZE,33.594,130.3625
西松屋 MARK IS 福岡ももち店,33.594,130.3625
mont-bell 福岡天神店,33.5893,130.399
mont-bell 熊本桜町店,32.8017,130.7063
mont-bell 南阿蘇店,32.8213,131.0122
Owala(Bonnes Fêtes à deux),33.5908,130.399
DOUBLEDAY,33.5897,130.4207
H.L.D.,33.5875,130.3935
糸島くらし×ここのき,33.5695,130.2005
bbb haus,33.633,130.188
岩田屋本店,33.5885,130.3975
大丸福岡天神店,33.5875,130.3995
天神地下街,33.59,130.3995
AMU PLAZA 博多,33.5897,130.4207
由布院フローラルヴィレッジ,33.2635,131.354
伊都菜彩,33.5605,130.2407
城彩苑,32.8045,130.7068
糸島 トトロの森(芥屋の大門公園),33.6197,130.1526
