name,lat,lng,category,area,address,hours,day,notes
COFFEE MAN,33.5797,130.3766,咖啡,福岡 六本松,福岡県福岡市中央区六本松4-5-23,08:00-20:00 · 週一公休,Day 4 早餐,"藏在路地奥的自家烘焙精品咖啡,10 席小店,一杯 ¥500 起。"
草千里珈琲焙煎所,32.8846,131.0585,咖啡,阿蘇 草千里,熊本県阿蘇市草千里,,Day 2,"標高 1000m,熊本「珈琲回廊」經營,緣側露台座位可看草千里全景。"
Up to U Coffee,33.5844,130.391,咖啡,福岡 警固,福岡県福岡市中央区警固,,Day 5 彈性,"けやき通り上的隱藏咖啡館,被古董家具環繞。"
abeki,33.582,130.398,咖啡,福岡 薬院,福岡県福岡市中央区薬院,,Day 5 彈性,"玻璃帷幕外觀 + 水晶吊燈,手作起司蛋糕有名。"
白金茶房,33.579,130.401,咖啡,福岡 薬院,福岡県福岡市中央区白金,,Day 5 彈性,福岡產小麥鬆餅 + 世界冠軍烘豆師的原創綜合咖啡。
Lamplight Books Cafe 福岡,33.5873,130.3944,咖啡,福岡 大名,福岡県福岡市中央区大名,,Day 5 彈性,"飯店內的書店咖啡,用 FUGLEN 的咖啡豆。"
Cafe La Ruche,33.264,131.3624,咖啡,由布院 金鱗湖畔,大分県由布市湯布院町川上,,Day 1,金鱗湖畔散步時順道喝杯熱拿鐵。
タナカフェ,33.5695,130.2005,咖啡,糸島 前原,福岡県糸島市前原中央,,Day 6,"在「糸島くらし×ここのき」店內,逛完雜貨直接坐下來休息。"
AMAM DACOTAN 六本松店,33.5806,130.3782,麵包甜點,福岡 六本松,福岡県福岡市中央区六本松3-7-6,約 08:00 開 · 不定休(一說週三),Day 4 早餐,"福岡排隊麵包名店,惣菜麵包種類爆多,早去才有得挑。"
またいちの塩 工房とったん(花鹽布丁),33.6122,130.1466,麵包甜點,糸島 芥屋,福岡県糸島市志摩芥屋3757,10:00-17:00,Day 6 可加,"海邊製鹽所,招牌「灑鹽吃的布丁」花塩プリン。位置在糸島西端芥屋,比夫婦岩再往西約 20 分。"
B-speak,33.2632,131.3556,麵包甜點,由布院 湯之坪,大分県由布市湯布院町川上,,Day 1,"湯之坪名店,招牌 P ロール 蛋糕卷。"
友永パンや,33.2836,131.5013,麵包甜點,別府 駅前,大分県別府市千代町,,Day 1,"別府百年麵包店,アンパン 是招牌。"
水天壽司 石垣店,33.305,131.515,餐廳,別府 石垣西,大分県別府市石垣西10-1-32,,Day 2 午餐,"大分縣產鮮魚的活魚回轉壽司,小孩也吃得慣。"
勝烈亭 新市街本店,32.802,130.7045,餐廳,熊本 新市街,熊本県熊本市中央区新市街8-18,11:00-21:30 (LO 21:00),Day 2 晚餐,"熊本老牌豬排名店,離 OMO5 步行約 10 分。"
黒亭,32.805,130.7081,餐廳,熊本 下通,熊本県熊本市中央区下通,,Day 2 備案,熊本拉麵代表店。
桂花,32.8047,130.7078,餐廳,熊本 下通,熊本県熊本市中央区下通,,Day 2 備案,熊本拉麵元祖。
馬桜,32.8052,130.7075,餐廳,熊本 下通,熊本県熊本市中央区下通,,Day 2 備案,馬刺し專門店。
湯之岳庵,33.2646,131.3573,餐廳,由布院,大分県由布市湯布院町川上2633-1,,Day 1 午餐,亀の井別荘內的洋食套餐。
Yufumabushi 心,33.2624,131.3549,餐廳,由布院,大分県由布市湯布院町川北,,Day 1 午餐,"豐後牛櫃まぶし,由布院人氣店。"
